Week,Label,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20,Bus21,Bus22,Bus23,Bus24,Bus25,Bus26,Bus27,Bus28,Bus29,Bus30,Bus31,Bus32,Bus33,Bus34,Bus35,Bus36,Bus37,Bus38,Bus39,Bus40,Bus41,Bus42,Bus43,Bus44,Bus45,Bus46,Bus47,Bus48,Bus49,Bus50,Bus51,Bus52,Bus53,Bus54,Bus55,Bus56,Bus57,Bus58,Bus59,Bus60,Bus61,Bus62,Bus63,Bus64,Bus65,Bus66,Bus67,Bus68,Bus69,Bus70,Bus71,Bus72,Bus73,Bus74,Bus75,Bus76,Bus77,Bus78,Bus79,Bus80,Bus81,Bus82,Bus83,Bus84,Bus85,Bus86,Bus87,Bus88,Bus89,Bus90,Bus91,Bus92,Bus93,Bus94,Bus95,Bus96,Bus97,Bus98,Bus99,Bus100,Bus101,Bus102,Bus103,Bus104,Bus105,Bus106,Bus107,Bus108,Bus109,Bus110,Bus111,Bus112,Bus113,Bus114,Bus115,Bus116,Bus117,Bus118,Bus119,Bus120,Bus121,Bus122,Bus123,Bus124,Bus125,Bus126,Bus127,Bus128,Bus129,Bus130,Bus131,Bus132,Bus133,Bus134,Bus135,Bus136,Bus137,Bus138,Bus139,Bus140
1.0,0.0,26.21051189,26.44557244,26.49727226,26.53024457,27.33170546,28.5452426,28.79135449,28.48716858,28.31621325,28.99783828,29.24646263,28.80632961,28.65877434,28.76193005,28.85931031,25.30514759,27.62694287,28.19183677,28.08463429,28.02692096,25.92066439,28.84175897,29.15922339,28.64746621,28.74599377,27.90513056,24.5543286,27.12237242,27.12237242,27.84223761,27.54417688,27.09224356,26.86921102,27.39663406,27.61772752,26.52997717,25.85150356,24.38455062,27.3556886,25.95295893,26.17995267,26.0833523,23.50978203,23.599337,23.66504896,23.3387926,21.80407139,21.98427137,24.17585274,21.62511525,21.44800004,20.17266108,19.51938729,18.9877276,18.72262596,17.27903233,18.52969849,18.38503786,18.48765555,18.8412757,19.26610012,18.6590686,19.71705395,20.15006166,20.46757575,19.00238745,19.38153733,19.99922721,20.38704419,19.67296044,19.98077708,20.68289987,29.24973536,31.75132459,33.52670818,32.89453547,32.14940601,32.04991252,31.93198338,33.84990789,33.50365844,31.83992251,16.38458192,16.15821249,15.8453363,15.84471167,14.95481715,15.99570679,15.80317385,15.72540305,19.2155235,17.5659754,19.35106979,19.30517817,18.31149755,17.8086681,17.49828025,19.47922904,19.58445204,20.3788261,18.35746911,18.73451906,18.66341951,18.96693756,17.07826574,18.69464808,18.66041565,18.89800421,18.89742596,19.05554777,19.01287382,16.33534792,16.54531871,15.41830593,15.15993796,15.34764832,15.10834587,14.96929778,15.41825863,14.02459137,14.43544069,14.12450429,14.99025094,35.01511684,33.57263494,33.50842127,29.21918573,42.73615859,4.613016422,2.139999849,3.326155366,12.73017431,9.712622026,12.41533044,10.14101098,12.92542671,13.10447219,19.64313897,11.04935472,18.8347787
1.0,0.0,26.06465676,26.30029544,26.32471578,26.33342741,26.9907152,27.93589773,28.12130181,27.83712724,27.70528019,28.27816877,28.50023393,28.13680278,28.00665898,28.11125165,28.18283301,24.77182481,26.94838939,27.50887607,27.34078462,27.28332465,25.83810318,28.12858235,28.41631583,27.99742106,28.10936332,27.16621596,24.05349268,26.63519468,26.63519468,27.32354733,27.18570282,26.89908543,26.72707797,27.16839377,27.35320141,26.529977,25.38337714,23.82164002,26.90209598,25.68751792,26.0051867,26.0833523,22.88846424,22.98154621,23.02960358,22.53613062,21.01219869,21.19752394,23.22520694,20.90711259,20.68801917,19.40087111,18.71274803,18.18827735,17.92963241,16.48398932,17.70825385,17.53832149,17.64250452,17.95870313,18.35064958,17.81256652,18.8165507,19.24039492,19.5599568,18.02394447,18.48827624,19.09479961,19.54706113,18.83670016,19.18335796,19.89527897,28.79931296,31.2648656,33.1002819,32.42379476,31.68385659,31.55575653,31.43790455,33.84990791,33.08148996,31.34591749,15.74815717,15.60705625,14.84979781,14.84898805,13.61178815,15.09087484,15.0949727,15.07459705,18.35642249,16.73260601,18.4899469,18.43844411,17.44745455,16.95571902,16.66514017,18.6348966,18.74529059,19.57243061,17.51167861,17.91588209,17.84069994,18.10281919,16.16064086,17.81826868,17.79142145,18.03462266,18.0339733,18.1937038,18.13580089,15.43927151,15.84905972,14.93576623,15.3926475,15.26609192,15.25017026,15.06903469,15.56105619,14.12799262,14.4354407,14.13319339,15.09111393,34.69542534,33.15264228,33.12916925,28.96117939,42.47282548,4.595528001,2.139999999,3.333612895,12.6801995,9.712622,12.63998405,10.15129722,13.05307026,13.20927239,18.88142234,11.12545092,17.95259017
1.0,0.0,25.95813561,26.19841401,26.2033344,26.1943528,26.76216108,27.56786839,27.72336741,27.42264323,27.29501719,27.84106968,28.04397674,27.76712306,27.67275078,27.76016781,27.78618693,24.31788605,26.467647,27.0518842,26.81415834,26.75506799,25.76293639,27.69447227,27.96167939,27.66593443,27.75838832,26.63969652,23.59975028,26.16521083,26.16521083,26.93185978,26.93598326,26.76451218,26.63482383,26.99781976,27.14354889,26.52997699,24.64981075,22.98720012,26.27106982,24.93543356,25.27812331,25.39364582,21.89754442,22.00557758,22.05399954,21.29841961,19.7862571,19.96687339,21.80620887,19.79287517,19.55846055,18.18142684,17.4702625,16.87656306,16.64128927,15.24142917,16.40365505,16.22404436,16.32525443,16.5979473,16.94704279,16.50350017,17.54003773,17.95005052,18.23174339,16.81124647,17.33608364,17.91260751,18.42957234,17.72129333,18.09269185,18.78121733,28.2686874,30.70087695,32.54574692,31.82042801,31.13530725,30.98356458,30.86835741,33.84990802,32.54700863,30.77843076,14.48129303,14.53817783,12.68912994,12.68793452,10.54731466,13.15326777,13.6111815,13.70881527,16.71379616,15.19213474,16.92301858,16.83248552,15.82093509,15.36203121,15.1168163,17.13245727,17.25641247,18.17877747,16.02315815,16.51504609,16.42580187,16.45534432,14.29260037,16.138317,16.1445415,16.40648236,16.40565116,16.54826219,16.46537487,13.55360583,14.44086956,13.93154497,16.20080603,15.318046,15.81600472,15.52911984,16.1336063,14.58844603,14.43544069,14.41271309,15.5523698,34.26442676,32.61832545,32.63860953,28.65811031,42.02444013,4.568409184,2.139999932,3.336357141,12.60715547,9.712622014,12.74020461,10.1680382,13.11567242,13.24273295,17.90153786,11.36905007,16.59184765
1.0,0.0,25.88535199,26.13238367,26.12764282,26.10975354,26.64693223,27.44269031,27.60579581,27.25590514,27.10369715,27.68956308,27.87885697,27.70801615,27.67013831,27.73395736,27.67953314,23.97590473,26.19392978,26.8285423,26.50704928,26.44451649,25.69185946,27.54262469,27.79658273,27.66593429,27.73197967,26.32834416,23.23040598,25.7868284,25.7868284,26.69797171,26.79867014,26.68334784,26.58195818,26.8840212,26.99562576,26.52997696,23.84722081,22.0693138,25.61485943,24.01619309,24.35557786,24.45199483,20.771263,20.90220401,20.95791384,19.91465489,18.41658019,18.58885468,20.2446788,18.53148766,18.29141291,16.80912542,16.08449776,15.39751646,15.19235986,13.85971826,14.94658375,14.7649846,14.86131492,15.09142996,15.39670981,15.04885793,16.13968499,16.53524582,16.76854845,15.51588963,16.09086013,16.62952407,17.20708441,16.50094837,16.8890684,17.5440843,27.75739587,30.1495472,31.97507348,31.20560362,30.59400769,30.42136169,30.30988618,33.84990794,31.99873629,30.22285977,13.00110252,13.29315208,10.13846727,10.13669705,6.915217256,10.8689021,11.86550388,12.10155874,14.80481214,13.42980207,15.02376711,14.99944195,13.96307648,13.5535605,13.35086167,15.40444692,15.54632175,16.59254379,14.31933751,14.92251039,14.81542274,14.54100349,12.10383588,14.18487726,14.23166292,14.51746349,14.51644604,14.63647954,14.54046149,11.33524864,12.79251231,12.7504102,17.19013332,15.4065717,16.51388445,16.10035346,16.83970712,15.15941002,14.43544069,14.77283177,16.12474463,33.81035426,32.06916548,32.12796598,28.3530003,41.52218201,4.538872143,2.139999881,3.336839576,12.52958115,9.712622018,12.78206881,10.18576754,13.14554167,13.24155155,16.84416886,11.66538184,15.08516494
1.0,0.0,25.85818977,26.10928299,26.09641393,26.07116341,26.57709483,27.3382087,27.50161303,27.11465252,26.95095794,27.54936831,27.72416048,27.65445949,27.66742575,27.70956101,27.58365228,23.75472057,25.96919354,26.63713172,26.24134317,26.17577727,25.66039399,27.40228153,27.64192627,27.66593386,27.70735678,26.0589463,22.98993722,25.58437884,25.58437884,26.53695384,26.71495168,26.65587719,26.5663095,26.85783768,26.96575959,26.52997685,23.54505307,21.69256896,25.4821599,23.49447259,23.79343573,23.87177895,20.14789595,20.26860432,20.29470404,18.86825546,17.32921785,17.4917295,19.00268788,17.70145453,17.43862553,15.66821625,14.88642175,13.95199874,13.79421301,12.54246308,13.54960474,13.38707892,13.47618306,13.66978289,13.9348593,13.69534669,15.04949049,15.45780598,15.57560182,14.6273013,15.31340686,15.8983614,16.5353753,15.76191762,16.21815883,16.77281994,27.75849922,30.18334528,32.0940014,31.33182098,30.64031578,30.44312927,30.35002818,33.84990789,32.14857389,30.27722814,10.79908122,11.45823844,6.217778205,6.216859446,1.100055653,7.386636497,9.217469788,9.661605792,12.38987328,11.18560627,12.43678527,12.38331733,11.57159757,11.24824055,11.10532579,13.44421633,13.62739582,14.96354663,12.38756364,13.22249784,13.07659491,12.09327904,8.920187408,11.63222438,11.78239664,12.11071355,12.10893077,12.19477649,11.87731128,7.992245258,10.32700966,10.96197319,18.94597227,15.67931636,17.73819755,17.03787471,18.10229325,16.12738438,14.43544068,15.52669137,17.00800846,33.88732231,32.22332512,32.3886079,28.39934816,41.53334635,4.485237348,2.139999947,3.245254704,12.58176462,9.712621995,13.48388234,10.25202767,13.60677771,13.68684122,16.33410014,11.78592755,13.66293988
1.0,0.0,25.82313595,26.08052319,26.05914359,26.02600628,26.50303563,27.1990415,27.34712132,26.95486548,26.8034646,27.3626322,27.52322443,27.51872444,27.55546296,27.58594393,27.43017606,23.58483928,25.75926609,26.44335273,25.9938106,25.92652169,25.6249914,27.21647824,27.44155437,27.55546296,27.58369519,25.81043228,22.81934249,25.47613559,25.47613559,26.41848638,26.64300851,26.63142644,26.55113595,26.83724071,26.94501682,26.52997698,23.46940626,21.6967058,25.4793869,23.32654262,23.61746494,23.68553079,19.85877885,19.98185194,20.01424586,18.31015592,16.73631835,16.89668885,18.31299039,17.31816162,17.10906413,15.13686356,14.33616193,13.27355564,13.13804185,11.89856404,12.88320657,12.72533096,12.81232631,12.98332056,13.22526931,13.06522155,14.68961265,15.11376993,15.09426281,14.60264778,15.28700513,15.9070222,16.54692383,15.68354854,16.10900416,16.56765494,27.79595844,30.20842447,32.08838442,31.40170227,30.64297348,30.46260412,30.37484312,33.84990789,32.16626964,30.30445118,9.623420959,10.44641184,4.235329654,4.235329651,-1.894310364,5.635471724,7.885687908,8.437365836,11.2175197,10.09480271,11.21070609,11.14871683,10.4106105,10.12510966,10.01184652,12.4672418,12.66826808,14.13122126,11.45707227,12.41288556,12.24655557,10.90871092,7.344550703,10.39538142,10.59673819,10.94798404,10.94582792,11.01319588,10.6025188,6.300960815,9.032940667,10.06404591,19.65239216,15.6357171,18.1227107,17.15474993,18.53040223,16.32433633,14.4354407,15.77935554,17.00800879,33.7376554,32.24400428,32.44719948,28.24563376,41.21475913,4.445440962,2.140000002,3.200015668,12.37954746,9.513812301,13.31737388,10.02306317,13.50235284,13.60502745,16.4175733,11.5147651,12.97593752
1.0,0.0,25.1722488,25.42811976,25.4041365,25.36905766,25.83216574,26.53358322,26.69372645,26.27308996,26.10785068,26.83635296,26.98313734,26.85496554,26.88864784,26.91719094,26.77226502,22.86509319,25.02196267,25.72747511,25.22212541,25.15369697,24.97284012,26.7511831,26.90282618,26.88864783,26.91479998,25.03967774,22.1016186,24.71672997,24.71672997,25.70319089,25.95760684,25.9649651,25.89696625,26.15276007,26.24535905,25.89809331,22.58480288,20.78578609,24.61484179,22.39507374,22.67328338,22.72974338,18.96863104,19.09028831,19.11881022,17.33353482,15.80596905,15.96527651,17.2620955,16.48186458,16.2352296,14.42870616,13.44922684,12.82369295,11.96875846,7.125382589,10.45908013,9.057383733,9.492470796,9.280137226,9.527295967,10.23526893,12.94002839,13.61169526,13.85320587,13.84981344,14.32979219,14.86409233,15.69233277,14.7869571,15.27236793,15.70250419,26.94797473,29.30797159,31.08456843,30.40122197,29.73281393,29.55860346,29.47292651,33.84990698,31.18834654,29.40470359,9.052008128,9.947599943,3.328571368,3.328571271,-3.198252578,4.825528179,7.263880596,7.866095134,10.52222151,9.453372292,10.50883092,10.44799761,9.737620253,9.470409449,9.37065161,11.72116473,11.91360612,13.31521053,10.90298224,11.90857702,11.733779,10.22978255,6.571937855,9.704065526,9.926780486,10.28061975,10.278284,10.33151127,9.89441336,5.505788978,8.409679101,9.642335427,19.8783582,15.54777188,18.23378408,17.1828584,18.65042082,16.37679411,14.43544059,15.77992789,17.0080086,32.72080475,31.26133913,31.43005974,27.39287055,40.03156116,4.376931512,2.14000004,3.178004287,12.07181368,9.339486409,12.77770953,9.845484327,13.00899,13.09413816,15.48280587,11.44598267,9.261089706
1.0,0.0,24.87570218,25.13057997,25.10923012,25.07700934,25.55458651,26.31649085,26.50529742,26.04710729,25.86005769,26.78044839,26.91983351,26.66257173,26.69441123,26.72204074,26.58254747,22.54935114,24.7301582,25.46490918,24.90805545,24.83768666,24.66470174,26.7511807,26.83915931,26.69441123,26.71940123,24.72356584,21.77379488,24.39348868,24.39348868,25.41831571,25.66813474,25.66648451,25.59760506,25.85108427,25.94365834,25.59875402,22.17099439,20.3305178,24.26092345,21.94185402,22.21520318,22.26188119,18.49361149,18.61824157,18.64694675,16.76758791,15.2576694,15.41998695,16.63573761,16.02246691,15.75069186,14.05619408,12.94943108,12.63191026,11.26456731,3.992119341,8.833651027,6.646204515,7.296496299,6.842113046,7.088500193,8.407833435,11.88200462,12.72227509,13.12532887,13.45809114,13.81255521,14.2985497,15.23454754,14.29895096,14.82399492,15.22879105,26.65639689,29.05279473,30.74744775,30.06421795,29.46997682,29.31262279,29.22740961,33.84990497,30.88115136,29.15978002,8.801825128,9.731510295,2.905757359,2.905757215,-3.838189429,4.453793634,6.985495463,7.61150628,10.20949215,9.166317053,10.20238951,10.14383814,9.438060615,9.177873476,9.083682097,11.34883581,11.53332731,12.87770435,10.66171316,11.69082182,11.51205457,9.929636907,6.227473411,9.399640231,9.631557918,9.986485489,9.984068692,10.02939974,9.586093239,5.143929102,8.134909703,9.457919863,20.01445598,15.53149805,18.30496003,17.20310595,18.73120052,16.41033219,14.43544051,15.81561799,17.00800854,32.37965634,30.95034392,31.08693989,27.10302261,39.64602436,4.355321527,2.140000045,3.169989684,11.96675246,9.28651143,12.51512398,9.791111993,12.75627164,12.83060602,14.98984941,11.40851475,6.814963552
1.0,0.0,24.71487993,24.97142041,24.94882175,24.91555008,25.39169091,26.15463128,26.34749938,25.87782221,25.68863673,26.67303857,26.80638524,26.50028271,26.53073024,26.55755221,26.42281212,22.35609439,24.5291825,25.27584665,24.69015216,24.6188544,24.49815165,26.66779824,26.72580306,26.53073024,26.55481394,24.50508418,21.57724519,24.21697861,24.21697861,25.24533764,25.50384714,25.51153093,25.44253368,25.7013561,25.79829108,25.44368954,21.99328217,20.10443747,24.13435654,21.75304148,22.02455021,22.06516803,18.30707957,18.43179307,18.45771885,16.54647301,15.04825335,15.21777232,16.38648337,15.86935217,15.54506503,14.03180991,12.7026871,12.89009623,10.78617771,2.17E-06,7.063450828,3.725077928,4.698594078,3.89377299,4.156336486,6.308629443,10.82342167,11.91213836,12.57203335,13.20123658,13.42687428,13.87170346,14.96758368,13.98638631,14.58541162,14.99149039,26.58705203,29.04059391,30.6665132,29.98566888,29.4501658,29.31262206,29.22720764,33.84990756,30.8268917,29.15963814,8.976199019,9.886865615,3.134295531,3.134295519,-3.58007052,4.670331963,7.163060282,7.776493736,10.43473698,9.375412457,10.4559059,10.4020759,9.661785169,9.391881491,9.292266595,11.44531171,11.61608005,12.86156274,10.90380308,11.94136545,11.76113125,10.17038449,6.466082485,9.642371211,9.872461887,10.22876387,10.22633035,10.26852721,9.841905688,5.364895765,8.322485154,9.585224167,20.00827176,15.59049881,18.30776817,17.20704675,18.7412278,16.41155327,14.43544069,15.85538617,17.00800878,32.28988165,30.89292483,30.99799324,27.01798198,39.55276669,4.350617852,2.140000002,3.165424233,11.93279813,9.272934779,12.3533553,9.775819249,12.58207468,12.6481628,14.63442871,11.35532647,3.855522276
1.0,0.0,24.74632975,25.0037423,24.98261895,24.9505636,25.43682441,26.22632286,26.42646893,25.94856689,25.7511847,26.7569912,26.8933974,26.58283941,26.61379736,26.641123,26.5037228,22.3771656,24.58878959,25.34359212,24.75701731,24.68527594,24.52350784,26.75032043,26.81232074,26.61379736,26.63828198,24.57056971,21.58596138,24.22662807,24.22662807,25.28913025,25.54727697,25.5462948,25.47634833,25.73444731,25.82973496,25.4775501,21.90459177,19.99561543,24.08551726,21.63204931,21.90197698,21.93757738,18.14055887,18.2693669,18.29831471,16.3111223,14.81241335,14.98244567,16.11679736,15.68287697,15.3697339,13.83822259,12.52105167,12.68672288,10.6200704,6.9E-06,6.952957692,3.669725285,4.626989924,3.833564994,4.090257894,6.220289879,10.71906618,11.78881323,12.4067886,13.12209345,13.33701518,13.77325431,14.84942065,13.87094325,14.45693841,14.84246277,26.57748409,29.03879284,30.63820683,29.95447915,29.44632335,29.31262135,29.22713947,33.84990366,30.81048611,29.15953407,8.788771883,9.723856207,2.836468434,2.836468325,-4.003815676,4.403841381,6.959600462,7.589838422,10.1868814,9.147647774,10.20310072,10.14922765,9.42268389,9.159779896,9.064831462,11.20518822,11.37607198,12.62306942,10.68517461,11.7294644,11.54812852,9.924646998,6.204784771,9.395001902,9.629721449,9.985478424,9.98301664,10.02211157,9.588596265,5.101831757,8.117578692,9.448178305,20.08574771,15.56645963,18.34672409,17.21727525,18.78361451,16.4297296,14.43544056,15.86886124,17.00800861,32.26691557,30.87541172,30.97255821,26.99712208,39.53694319,4.349986413,2.140000018,3.165216449,11.92521536,9.272565914,12.30480317,9.775637881,12.53786137,12.60230737,14.54846551,11.36065756,3.795670255
