Bus,Cusum Threshold,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,0.1,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus116,0.1,0.352046783625731,0.23268698060941828,1.0,0.3775280898876405,0.0,6.0,6
Bus117,0.1,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus118,0.1,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus119,0.1,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus121,0.1,0.8035087719298246,0.0,0.0,0.0,0.0,,-1
Bus135,0.1,0.29005847953216374,0.2167741935483871,1.0,0.3563096500530223,0.0,8.0,8
Bus139,0.1,0.2432748538011696,0.2002503128911139,0.9523809523809523,0.3309203722854188,0.0,7.0,7
Bus115,0.2,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus116,0.2,0.39649122807017545,0.24486803519061584,0.9940476190476191,0.39294117647058824,0.0,6.0,6
Bus117,0.2,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus118,0.2,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus119,0.2,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus121,0.2,0.8035087719298246,0.0,0.0,0.0,0.0,,-1
Bus135,0.2,0.2982456140350877,0.21875,1.0,0.358974358974359,0.0,8.0,8
Bus139,0.2,0.25146198830409355,0.20202020202020202,0.9523809523809523,0.3333333333333333,0.0,8.0,8
Bus115,0.5,0.2,0.19718309859154928,1.0,0.32941176470588235,0.0,1.0,1
Bus116,0.5,0.5368421052631579,0.2949640287769784,0.9761904761904762,0.4530386740331492,0.0,8.0,8
Bus117,0.5,0.2,0.19718309859154928,1.0,0.32941176470588235,0.0,1.0,1
Bus118,0.5,0.19883040935672514,0.1969519343493552,1.0,0.32908912830558273,0.0,1.0,1
Bus119,0.5,0.2,0.19718309859154928,1.0,0.32941176470588235,0.0,1.0,1
Bus121,0.5,0.8035087719298246,0.0,0.0,0.0,0.0,,-1
Bus135,0.5,0.3309941520467836,0.22702702702702704,1.0,0.3700440528634361,0.0,11.0,11
Bus139,0.5,0.2631578947368421,0.19921875,0.9107142857142857,0.3269230769230769,0.0,8.0,8
Bus115,1.0,0.2,0.19718309859154928,1.0,0.32941176470588235,0.0,1.0,1
Bus116,1.0,0.6713450292397661,0.3701149425287356,0.9583333333333334,0.5339966832504146,0.0,11.0,11
Bus117,1.0,0.2,0.19718309859154928,1.0,0.32941176470588235,0.0,1.0,1
Bus118,1.0,0.20116959064327486,0.19741480611045828,1.0,0.3297350343473994,0.0,2.0,2
Bus119,1.0,0.2,0.19718309859154928,1.0,0.32941176470588235,0.0,1.0,1
Bus121,1.0,0.8035087719298246,0.0,0.0,0.0,0.0,,-1
Bus135,1.0,0.3953216374269006,0.24525547445255474,1.0,0.3939038686987104,0.0,109.0,109
Bus139,1.0,0.3064327485380117,0.20279720279720279,0.8630952380952381,0.32842582106455265,0.0,10.0,10
Bus115,2.0,0.2,0.19718309859154928,1.0,0.32941176470588235,0.0,1.0,1
Bus116,2.0,0.7251461988304093,0.41114058355437666,0.9226190476190477,0.5688073394495413,0.0,394.0,394
Bus117,2.0,0.2023391812865497,0.1976470588235294,1.0,0.3300589390962672,0.0,2.0,2
Bus118,2.0,0.2023391812865497,0.1976470588235294,1.0,0.3300589390962672,0.0,3.0,3
Bus119,2.0,0.2023391812865497,0.1976470588235294,1.0,0.3300589390962672,0.0,2.0,2
Bus121,2.0,0.8035087719298246,0.0,0.0,0.0,0.0,,-1
Bus135,2.0,0.5017543859649123,0.2828282828282828,1.0,0.4409448818897638,0.0,138.0,138
Bus139,2.0,0.3672514619883041,0.1996779388083736,0.7380952380952381,0.31432192648922685,0.0,16.0,16
