Bus,k,Alpha,Threshold,d,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,10,0.1,1,3,0.7142857142857143,0.96,0.2857142857142857,0.44036697247706424,0.007722007722007722,45,45
Bus115,10,0.1,3,3,0.6604215456674473,1.0,0.13690476190476192,0.24083769633507854,0.0,66,66
Bus115,10,0.1,5,3,0.6416861826697893,1.0,0.08928571428571429,0.16393442622950818,0.0,67,67
Bus115,10,0.1,7,3,0.6252927400468384,1.0,0.047619047619047616,0.09090909090909091,0.0,93,93
Bus115,10,0.1,10,3,0.6135831381733021,1.0,0.017857142857142856,0.03508771929824561,0.0,93,93
Bus115,10,0.3,1,3,0.6768149882903981,0.5510204081632653,0.9642857142857143,0.7012987012987013,0.5096525096525096,43,43
Bus115,10,0.3,3,3,0.7072599531615925,0.5781818181818181,0.9464285714285714,0.7178329571106095,0.44787644787644787,44,44
Bus115,10,0.3,5,3,0.6978922716627635,0.5747126436781609,0.8928571428571429,0.6993006993006993,0.42857142857142855,45,45
Bus115,10,0.3,7,3,0.6978922716627635,0.5776892430278885,0.8630952380952381,0.6921241050119332,0.4092664092664093,65,65
Bus115,10,0.3,10,3,0.7072599531615925,0.5877551020408164,0.8571428571428571,0.6973365617433414,0.38996138996138996,66,66
Bus115,10,0.5,1,3,0.46604215456674475,0.42424242424242425,1.0,0.5957446808510638,0.8803088803088803,9,9
Bus115,10,0.5,3,3,0.4894613583138173,0.4348958333333333,0.9940476190476191,0.605072463768116,0.8378378378378378,43,43
Bus115,10,0.5,5,3,0.48711943793911006,0.43342036553524804,0.9880952380952381,0.6025408348457351,0.8378378378378378,44,44
Bus115,10,0.5,7,3,0.477751756440281,0.42744063324538256,0.9642857142857143,0.5923217550274223,0.8378378378378378,45,45
Bus115,10,0.5,10,3,0.45433255269320844,0.41192411924119243,0.9047619047619048,0.5661080074487895,0.8378378378378378,58,58
Bus115,10,0.7,1,3,0.41451990632318503,0.4019138755980861,1.0,0.5733788395904437,0.9652509652509652,9,9
Bus115,10,0.7,3,3,0.4379391100702576,0.4117647058823529,1.0,0.5833333333333334,0.9266409266409267,19,19
Bus115,10,0.7,5,3,0.468384074941452,0.4253164556962025,1.0,0.5968028419182948,0.8764478764478765,25,25
Bus115,10,0.7,7,3,0.4894613583138173,0.4348958333333333,0.9940476190476191,0.605072463768116,0.8378378378378378,43,43
Bus115,10,0.7,10,3,0.48711943793911006,0.43342036553524804,0.9880952380952381,0.6025408348457351,0.8378378378378378,44,44
