Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay
Method A (At least one bus),4,0.405152224824356,0.3981042654028436,1.0,0.5694915254237288,0.9806949806949807,0.0
Method A (All buses),60,0.8688524590163934,0.8043478260869565,0.8809523809523809,0.8409090909090909,0.138996138996139,18.0
Method A (p=0.1),0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0
Method A (p=0.2),4,0.405152224824356,0.3981042654028436,1.0,0.5694915254237288,0.9806949806949807,0.0
Method A (p=0.5),47,0.6557377049180327,0.5371024734982333,0.9047619047619048,0.6740576496674058,0.5057915057915058,5.0
Method A (p=0.7),47,0.6557377049180327,0.5371024734982333,0.9047619047619048,0.6740576496674058,0.5057915057915058,5.0
Method A (p=0.9),60,0.6978922716627635,0.5747126436781609,0.8928571428571429,0.6993006993006993,0.42857142857142855,18.0
"Method B (average, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (average, minimum)",110,0.6112412177985949,0.5050505050505051,0.5952380952380952,0.546448087431694,0.3783783783783784,68.0
"Method B (average, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (average, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, minimum)",94,0.6885245901639344,0.5916230366492147,0.6726190476190477,0.6295264623955432,0.30115830115830117,52.0
"Method B (median, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, minimum)",100,0.6885245901639344,0.5988700564971752,0.6309523809523809,0.6144927536231884,0.27413127413127414,58.0
"Method B (outlier_detection, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
