Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay
"Method B (average, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (average, minimum)",136,0.2716627634660422,0.2542955326460481,0.44047619047619047,0.3224400871459695,0.8378378378378378,94.0
"Method B (average, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (average, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, minimum)",166,0.3161592505854801,0.20192307692307693,0.25,0.22340425531914893,0.640926640926641,124.0
"Method B (median, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (median, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, minimum)",136,0.21311475409836064,0.18421052631578946,0.2916666666666667,0.22580645161290322,0.8378378378378378,94.0
"Method B (outlier_detection, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
"Method B (outlier_detection, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,inf
