Bus,Method,Threshold,Accuracy,Precision,Recall,F1 Score,Detection Time
Bus115,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0
Bus116,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,5
Bus117,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0
Bus118,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0
Bus119,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,0
Bus121,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,1
Bus135,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,8
Bus139,Individual GLR,0.1,0.8023391812865497,0.0,0.0,0.0,7
Bus115,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,1
Bus116,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,7
Bus117,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,1
Bus118,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,2
Bus119,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,1
Bus121,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,89
Bus135,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,12
Bus139,Individual GLR,1.0,0.8023391812865497,0.0,0.0,0.0,8
Bus115,Individual GLR,10.0,0.8023391812865497,0.0,0.0,0.0,23
Bus116,Individual GLR,10.0,0.8046783625730994,1.0,0.005952380952380952,0.011834319526627219,487
Bus117,Individual GLR,10.0,0.8023391812865497,0.0,0.0,0.0,23
Bus118,Individual GLR,10.0,0.8023391812865497,0.0,0.0,0.0,25
Bus119,Individual GLR,10.0,0.8023391812865497,0.0,0.0,0.0,23
Bus121,Individual GLR,10.0,0.8046783625730994,1.0,0.005952380952380952,0.011834319526627219,540
Bus135,Individual GLR,10.0,0.8046783625730994,1.0,0.005952380952380952,0.011834319526627219,472
Bus139,Individual GLR,10.0,0.8046783625730994,1.0,0.005952380952380952,0.011834319526627219,586
