Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Threshold
"Method B (average, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.01
"Method B (average, minimum)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.01
"Method B (average, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.01
"Method B (average, median)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.01
"Method B (median, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.01
"Method B (median, minimum)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.01
"Method B (median, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.01
"Method B (median, median)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.01
"Method B (outlier_detection, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.01
"Method B (outlier_detection, minimum)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.01
"Method B (outlier_detection, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.01
"Method B (outlier_detection, median)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.01
"Method B (average, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (average, minimum)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.1
"Method B (average, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (average, median)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (median, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (median, minimum)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.1
"Method B (median, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (median, median)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (outlier_detection, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (outlier_detection, minimum)",0,0.8023391812865497,0.0,0.0,0.0,0.001455604075691412,0.0,0.1
"Method B (outlier_detection, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (outlier_detection, median)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,0.1
"Method B (average, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (average, minimum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (average, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (average, median)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (median, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (median, minimum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (median, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (median, median)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (outlier_detection, average)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (outlier_detection, minimum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (outlier_detection, maximum)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
"Method B (outlier_detection, median)",-1,0.8035087719298246,0.0,0.0,0.0,0.0,inf,1.0
