Bus,d,k,alpha,h,Confusion Matrix,Accuracy,Precision,Recall,F1 Score
Bus115,3,10,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,10,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,10,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,10,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,10,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,10,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,10,0.1,10,"[[259   0]
 [167   1]]",0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219
Bus115,3,10,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,10,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.1,10,"[[259   0]
 [167   1]]",0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219
Bus115,3,15,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,15,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.1,10,"[[259   0]
 [167   1]]",0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219
Bus115,3,20,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus115,3,20,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.1,10,"[[259   0]
 [166   2]]",0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882
Bus116,3,10,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.1,10,"[[259   0]
 [166   2]]",0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882
Bus116,3,15,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.1,10,"[[259   0]
 [167   1]]",0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219
Bus116,3,20,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.1,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,15,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
