Aggregation Method,Sink Threshold Method,MAD Threshold,Sink Threshold,Detection Time,Accuracy,Precision,Recall,F1 Score
average,average,2.5,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,average,3.0,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,average,3.5,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,minimum,2.5,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,minimum,3.0,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,minimum,3.5,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,maximum,2.5,0.06,58,0.22153465346534654,0.2107904642409034,1.0,0.34818652849740933
average,maximum,3.0,0.06,58,0.22153465346534654,0.2107904642409034,1.0,0.34818652849740933
average,maximum,3.5,0.06,58,0.22153465346534654,0.2107904642409034,1.0,0.34818652849740933
average,median,2.5,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,median,3.0,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
average,median,3.5,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,average,2.5,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,average,3.0,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,average,3.5,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,minimum,2.5,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,minimum,3.0,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,minimum,3.5,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,maximum,2.5,0.06,61,0.22524752475247525,0.21158690176322417,1.0,0.3492723492723493
median,maximum,3.0,0.06,61,0.22524752475247525,0.21158690176322417,1.0,0.3492723492723493
median,maximum,3.5,0.06,61,0.22524752475247525,0.21158690176322417,1.0,0.3492723492723493
median,median,2.5,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,median,3.0,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
median,median,3.5,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,average,2.5,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,average,3.0,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,average,3.5,0.021249999999999998,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,minimum,2.5,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,minimum,3.0,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,minimum,3.5,0.0,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,maximum,2.5,0.06,58,0.22153465346534654,0.2107904642409034,1.0,0.34818652849740933
outlier_detection,maximum,3.0,0.06,58,0.22153465346534654,0.2107904642409034,1.0,0.34818652849740933
outlier_detection,maximum,3.5,0.06,58,0.22153465346534654,0.2107904642409034,1.0,0.34818652849740933
outlier_detection,median,2.5,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,median,3.0,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
outlier_detection,median,3.5,0.015,48,0.20915841584158415,0.20817843866171004,1.0,0.3446153846153846
