Bus,d,Gamma,Threshold,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,3,0.1,1,0.639344262295082,0.85,0.10119047619047619,0.18085106382978725,0.0,33.0,33
Bus116,3,0.1,1,0.6182669789227166,0.6190476190476191,0.07738095238095238,0.13756613756613756,0.0,112.0,112
Bus117,3,0.1,1,0.639344262295082,0.8181818181818182,0.10714285714285714,0.18947368421052632,0.0,33.0,33
Bus118,3,0.1,1,0.6135831381733021,0.5714285714285714,0.07142857142857142,0.12698412698412698,0.0,33.0,33
Bus119,3,0.1,1,0.629976580796253,0.7272727272727273,0.09523809523809523,0.16842105263157894,0.0,32.0,32
Bus121,3,0.1,1,0.6370023419203747,0.782608695652174,0.10714285714285714,0.18848167539267016,0.0,2.0,2
Bus135,3,0.1,1,0.6510538641686182,1.0,0.1130952380952381,0.20320855614973263,0.0,42.0,42
Bus139,3,0.1,1,0.6206088992974239,0.6666666666666666,0.07142857142857142,0.12903225806451613,0.0,143.0,143
Bus115,3,0.1,3,0.6370023419203747,1.0,0.07738095238095238,0.143646408839779,0.0,65.0,65
Bus116,3,0.1,3,0.6159250585480094,0.7,0.041666666666666664,0.07865168539325842,0.0,114.0,114
Bus117,3,0.1,3,0.6346604215456675,1.0,0.07142857142857142,0.13333333333333333,0.0,65.0,65
Bus118,3,0.1,3,0.6135831381733021,0.7142857142857143,0.02976190476190476,0.05714285714285714,0.0,42.0,42
Bus119,3,0.1,3,0.6323185011709602,1.0,0.06547619047619048,0.12290502793296089,0.0,65.0,65
Bus121,3,0.1,3,0.6346604215456675,1.0,0.07142857142857142,0.13333333333333333,0.0,65.0,65
Bus135,3,0.1,3,0.6323185011709602,1.0,0.06547619047619048,0.12290502793296089,0.0,42.0,42
Bus139,3,0.1,3,0.6112412177985949,0.6666666666666666,0.023809523809523808,0.04597701149425287,0.0,143.0,143
Bus115,3,0.1,5,0.6159250585480094,1.0,0.023809523809523808,0.046511627906976744,0.0,93.0,93
Bus116,3,0.1,5,0.6159250585480094,1.0,0.023809523809523808,0.046511627906976744,0.0,204.0,204
Bus117,3,0.1,5,0.6135831381733021,1.0,0.017857142857142856,0.03508771929824561,0.0,93.0,93
Bus118,3,0.1,5,0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219,0.0,43.0,43
Bus119,3,0.1,5,0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882,0.0,93.0,93
Bus121,3,0.1,5,0.6252927400468384,1.0,0.047619047619047616,0.09090909090909091,0.0,66.0,66
Bus135,3,0.1,5,0.6252927400468384,1.0,0.047619047619047616,0.09090909090909091,0.0,43.0,43
Bus139,3,0.1,5,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus115,3,0.1,7,0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882,0.0,93.0,93
Bus116,3,0.1,7,0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882,0.0,205.0,205
Bus117,3,0.1,7,0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882,0.0,93.0,93
Bus118,3,0.1,7,0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219,0.0,43.0,43
Bus119,3,0.1,7,0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882,0.0,93.0,93
Bus121,3,0.1,7,0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219,0.0,67.0,67
Bus135,3,0.1,7,0.6182669789227166,1.0,0.02976190476190476,0.057803468208092484,0.0,43.0,43
Bus139,3,0.1,7,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus115,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus116,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus117,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus118,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus119,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus121,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus135,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus139,3,0.1,10,0.6065573770491803,0.0,0.0,0.0,0.0,,-1
Bus115,3,0.3,1,0.639344262295082,0.85,0.10119047619047619,0.18085106382978725,0.0,33.0,33
Bus116,3,0.3,1,0.6182669789227166,0.6190476190476191,0.07738095238095238,0.13756613756613756,0.0,112.0,112
Bus117,3,0.3,1,0.639344262295082,0.8181818181818182,0.10714285714285714,0.18947368421052632,0.0,33.0,33
