Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Gamma,h,Alpha
Method A (At least one bus),43,0.8501170960187353,0.7429906542056075,0.9464285714285714,0.8324607329842932,0.21235521235521235,0.0,0.9,4,0.2
Method A (All buses),-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
Method A (p=0.1),0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0,0.9,4,0.2
Method A (p=0.2),43,0.8501170960187353,0.7429906542056075,0.9464285714285714,0.8324607329842932,0.21235521235521235,0.0,0.9,4,0.2
Method A (p=0.5),66,0.7236533957845434,0.8289473684210527,0.375,0.5163934426229508,0.05019305019305019,11.5,0.9,4,0.2
Method A (p=0.7),66,0.7072599531615925,0.9387755102040817,0.27380952380952384,0.423963133640553,0.011583011583011582,11.5,0.9,4,0.2
Method A (p=0.9),115,0.6182669789227166,1.0,0.02976190476190476,0.057803468208092484,0.0,36.0,0.9,4,0.2
"Method B (average, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
"Method B (average, minimum)",0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0,0.9,4,0.2
"Method B (average, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
"Method B (average, median)",416,0.5807962529274004,0.0,0.0,0.0,0.04247104247104247,290.0,0.9,4,0.2
"Method B (median, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
"Method B (median, minimum)",0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0,0.9,4,0.2
"Method B (median, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
"Method B (median, median)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
"Method B (outlier_detection, average)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
"Method B (outlier_detection, minimum)",0,0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412,1.0,0.0,0.9,4,0.2
"Method B (outlier_detection, maximum)",-1,0.6065573770491803,0.0,0.0,0.0,0.0,0.0,0.9,4,0.2
"Method B (outlier_detection, median)",416,0.594847775175644,0.0,0.0,0.0,0.019305019305019305,290.0,0.9,4,0.2
