Bus,Window Size,QQ Threshold,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Detection Time
Bus115,6,0.01,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,0
Bus116,6,0.01,0.2014218009478673,0.1995249406175772,1.0,0.3326732673267327,0.0,0.0,0
Bus117,6,0.01,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,0
Bus118,6,0.01,0.21208530805687204,0.20168067226890757,1.0,0.3356643356643357,0.0,0.0,0
Bus119,6,0.01,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,0
Bus121,6,0.01,0.8009478672985783,0.0,0.0,0.0,0.0,,-1
Bus135,6,0.01,0.20497630331753555,0.19662243667068757,0.9702380952380952,0.32698094282848544,0.0,0.0,0
Bus139,6,0.01,0.20260663507109006,0.19976218787158145,1.0,0.3330029732408325,0.0,0.0,0
Bus115,6,0.05,0.20260663507109006,0.19976218787158145,1.0,0.3330029732408325,0.0,0.0,0
Bus116,6,0.05,0.2559241706161137,0.18493150684931506,0.8035714285714286,0.30066815144766146,0.0,0.0,0
Bus117,6,0.05,0.20971563981042654,0.20048019207683074,0.9940476190476191,0.3336663336663337,0.0,0.0,0
Bus118,6,0.05,0.26540284360189575,0.21099744245524296,0.9821428571428571,0.3473684210526316,0.0,0.0,0
Bus119,6,0.05,0.21208530805687204,0.20168067226890757,1.0,0.3356643356643357,0.0,0.0,0
Bus121,6,0.05,0.8009478672985783,0.0,0.0,0.0,0.0,,-1
Bus135,6,0.05,0.31161137440758296,0.17274167987321712,0.6488095238095238,0.27284105131414266,0.0,0.0,0
Bus139,6,0.05,0.25118483412322273,0.20103092783505155,0.9285714285714286,0.3305084745762712,0.0,0.0,0
Bus115,6,0.1,0.20853080568720378,0.19951923076923078,0.9880952380952381,0.332,0.0,0.0,0
Bus116,6,0.1,0.43838862559241704,0.14908256880733944,0.3869047619047619,0.2152317880794702,0.0,0.0,0
Bus117,6,0.1,0.23104265402843602,0.2034525277435265,0.9821428571428571,0.33707865168539325,0.0,0.0,0
Bus118,6,0.1,0.3104265402843602,0.21721311475409835,0.9464285714285714,0.35333333333333333,0.0,27.0,27
Bus119,6,0.1,0.22867298578199052,0.2029520295202952,0.9821428571428571,0.3363914373088685,0.0,0.0,0
Bus121,6,0.1,0.8009478672985783,0.0,0.0,0.0,0.0,,-1
Bus135,6,0.1,0.38744075829383884,0.10961968680089486,0.2916666666666667,0.15934959349593497,0.0,0.0,0
Bus139,6,0.1,0.3921800947867299,0.18114602587800369,0.5833333333333334,0.2764456981664316,0.0,0.0,0
Bus115,6,0.2,0.22867298578199052,0.20074349442379183,0.9642857142857143,0.3323076923076923,0.0,0.0,0
Bus116,6,0.2,0.7345971563981043,0.1,0.041666666666666664,0.058823529411764705,0.0,0.0,0
Bus117,6,0.2,0.28199052132701424,0.2072192513368984,0.9226190476190477,0.3384279475982533,0.0,0.0,0
Bus118,6,0.2,0.35545023696682465,0.2089783281733746,0.8035714285714286,0.3316953316953317,0.0,28.0,28
Bus119,6,0.2,0.278436018957346,0.205607476635514,0.9166666666666666,0.33587786259541985,0.0,0.0,0
Bus121,6,0.2,0.8009478672985783,0.0,0.0,0.0,0.0,,-1
Bus135,6,0.2,0.5687203791469194,0.024271844660194174,0.02976190476190476,0.026737967914438502,0.0,0.0,0
Bus139,6,0.2,0.6575829383886256,0.15428571428571428,0.16071428571428573,0.15743440233236153,0.0,1.0,1
Bus115,6,0.4,0.3009478672985782,0.20448179271708683,0.8690476190476191,0.3310657596371882,0.0,0.0,0
Bus116,6,0.4,0.8009478672985783,0.0,0.0,0.0,0.0,,-1
Bus117,6,0.4,0.3815165876777251,0.21266233766233766,0.7797619047619048,0.33418367346938777,0.0,28.0,28
Bus118,6,0.4,0.4431279620853081,0.19183673469387755,0.5595238095238095,0.2857142857142857,0.0,77.0,77
Bus119,6,0.4,0.36729857819905215,0.2085987261146497,0.7797619047619048,0.32914572864321606,0.0,28.0,28
Bus121,6,0.4,0.8009478672985783,0.0,0.0,0.0,0.0,,-1
Bus135,6,0.4,0.7701421800947867,0.0,0.0,0.0,0.0,0.0,0
Bus139,6,0.4,0.7997630331753555,0.0,0.0,0.0,0.0,751.0,751
Bus115,12,0.01,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,0
Bus116,12,0.01,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,0
Bus117,12,0.01,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,0
Bus118,12,0.01,0.203125,0.20216606498194944,1.0,0.33633633633633636,0.0,0.0,0
Bus119,12,0.01,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,0
Bus121,12,0.01,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus135,12,0.01,0.20072115384615385,0.2009626955475331,0.9940476190476191,0.33433433433433435,0.0,0.0,0
Bus139,12,0.01,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,0
Bus115,12,0.05,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,0
Bus116,12,0.05,0.26322115384615385,0.17800289435600578,0.7321428571428571,0.28637951105937137,0.0,1.0,1
Bus117,12,0.05,0.20432692307692307,0.20240963855421687,1.0,0.3366733466933868,0.0,0.0,0
Bus118,12,0.05,0.21514423076923078,0.2046285018270402,1.0,0.339737108190091,0.0,3.0,3
Bus119,12,0.05,0.203125,0.20216606498194944,1.0,0.33633633633633636,0.0,0.0,0
Bus121,12,0.05,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus135,12,0.05,0.21754807692307693,0.1723202170963365,0.7559523809523809,0.28066298342541435,0.0,0.0,0
Bus139,12,0.05,0.24278846153846154,0.20460358056265984,0.9523809523809523,0.3368421052631579,0.0,1.0,1
Bus115,12,0.1,0.20432692307692307,0.20240963855421687,1.0,0.3366733466933868,0.0,0.0,0
Bus116,12,0.1,0.5252403846153846,0.12786885245901639,0.23214285714285715,0.1649048625792812,0.0,1.0,1
Bus117,12,0.1,0.20673076923076922,0.20217917675544794,0.9940476190476191,0.33601609657947684,0.0,1.0,1
Bus118,12,0.1,0.2403846153846154,0.20632911392405062,0.9702380952380952,0.34029227557411273,0.0,16.0,16
Bus119,12,0.1,0.20673076923076922,0.20217917675544794,0.9940476190476191,0.33601609657947684,0.0,1.0,1
Bus121,12,0.1,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus135,12,0.1,0.3004807692307692,0.07926829268292683,0.23214285714285715,0.11818181818181818,0.0,1.0,1
Bus139,12,0.1,0.39783653846153844,0.18761726078799248,0.5952380952380952,0.28530670470756064,0.0,2.0,2
Bus115,12,0.2,0.20793269230769232,0.20242424242424242,0.9940476190476191,0.3363544813695871,0.0,1.0,1
Bus116,12,0.2,0.7740384615384616,0.08333333333333333,0.011904761904761904,0.020833333333333332,0.0,3.0,3
Bus117,12,0.2,0.23197115384615385,0.2037735849056604,0.9642857142857143,0.3364485981308411,0.0,3.0,3
Bus118,12,0.2,0.31850961538461536,0.20704845814977973,0.8392857142857143,0.3321554770318021,0.0,65.0,65
Bus119,12,0.2,0.22716346153846154,0.20275344180225283,0.9642857142857143,0.33505687693898656,0.0,3.0,3
Bus121,12,0.2,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus135,12,0.2,0.6346153846153846,0.0,0.0,0.0,0.0,2.0,2
Bus139,12,0.2,0.7151442307692307,0.1368421052631579,0.07738095238095238,0.09885931558935361,0.0,109.0,109
Bus115,12,0.4,0.2403846153846154,0.19712793733681463,0.8988095238095238,0.3233404710920771,0.0,3.0,3
Bus116,12,0.4,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus117,12,0.4,0.35216346153846156,0.2115085536547434,0.8095238095238095,0.3353884093711467,0.0,18.0,18
Bus118,12,0.4,0.40865384615384615,0.15086206896551724,0.4166666666666667,0.22151898734177214,0.0,84.0,84
Bus119,12,0.4,0.31850961538461536,0.20268256333830104,0.8095238095238095,0.32419547079856975,0.0,17.0,17
Bus121,12,0.4,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus135,12,0.4,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus139,12,0.4,0.7980769230769231,0.0,0.0,0.0,0.0,,-1
Bus115,24,0.01,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,0
Bus116,24,0.01,0.2079207920792079,0.2079207920792079,1.0,0.3442622950819672,0.0,0.0,0
