Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Window Size,Threshold
Method A (At least one bus),0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.01
Method A (All buses),-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
Method A (p=0.1),0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.01
Method A (p=0.2),0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.01
Method A (p=0.5),0,0.20023696682464456,0.199288256227758,1.0,0.3323442136498516,0.0,0.0,6,0.01
Method A (p=0.7),0,0.2014218009478673,0.1995249406175772,1.0,0.3326732673267327,0.0,0.0,6,0.01
Method A (p=0.9),0,0.21682464454976302,0.199023199023199,0.9702380952380952,0.3302938196555218,0.0,0.0,6,0.01
Method A (At least one bus),0,0.2014218009478673,0.1995249406175772,1.0,0.3326732673267327,0.0,0.0,6,0.05
Method A (All buses),-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.05
Method A (p=0.1),0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.05
Method A (p=0.2),0,0.2014218009478673,0.1995249406175772,1.0,0.3326732673267327,0.0,0.0,6,0.05
Method A (p=0.5),0,0.2132701421800948,0.20120481927710843,0.9940476190476191,0.3346693386773547,0.0,0.0,6,0.05
Method A (p=0.7),0,0.22274881516587677,0.20098039215686275,0.9761904761904762,0.3333333333333333,0.0,0.0,6,0.05
Method A (p=0.9),0,0.4099526066350711,0.17391304347826086,0.5238095238095238,0.26112759643916916,0.0,0.0,6,0.05
Method A (At least one bus),0,0.20616113744075829,0.19904076738609114,0.9880952380952381,0.3313373253493014,0.0,0.0,6,0.1
Method A (All buses),-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.1
Method A (p=0.1),0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.1
Method A (p=0.2),0,0.20616113744075829,0.19904076738609114,0.9880952380952381,0.3313373253493014,0.0,0.0,6,0.1
Method A (p=0.5),0,0.2381516587677725,0.20275344180225283,0.9642857142857143,0.33505687693898656,0.0,0.0,6,0.1
Method A (p=0.7),0,0.2725118483412322,0.17959770114942528,0.7440476190476191,0.28935185185185186,0.0,0.0,6,0.1
Method A (p=0.9),35,0.6220379146919431,0.06857142857142857,0.07142857142857142,0.06997084548104957,0.0,35.0,6,0.1
Method A (At least one bus),0,0.22867298578199052,0.20074349442379183,0.9642857142857143,0.3323076923076923,0.0,0.0,6,0.2
Method A (All buses),-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.2
Method A (p=0.1),0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.2
Method A (p=0.2),0,0.22867298578199052,0.20074349442379183,0.9642857142857143,0.3323076923076923,0.0,0.0,6,0.2
Method A (p=0.5),0,0.30450236966824645,0.1976911976911977,0.8154761904761905,0.31823461091753774,0.0,0.0,6,0.2
Method A (p=0.7),0,0.5023696682464455,0.10377358490566038,0.19642857142857142,0.13580246913580246,0.0,0.0,6,0.2
Method A (p=0.9),37,0.7962085308056872,0.16666666666666666,0.005952380952380952,0.011494252873563218,0.0,37.0,6,0.2
Method A (At least one bus),0,0.3009478672985782,0.20448179271708683,0.8690476190476191,0.3310657596371882,0.0,0.0,6,0.4
Method A (All buses),-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
Method A (p=0.1),0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.4
Method A (p=0.2),0,0.3009478672985782,0.20448179271708683,0.8690476190476191,0.3310657596371882,0.0,0.0,6,0.4
Method A (p=0.5),36,0.43009478672985785,0.18762475049900199,0.5595238095238095,0.28101644245142005,0.0,36.0,6,0.4
Method A (p=0.7),85,0.7855450236966824,0.0,0.0,0.0,0.0,85.0,6,0.4
Method A (p=0.9),-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
Method A (At least one bus),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
Method A (All buses),-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
Method A (p=0.1),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
Method A (p=0.2),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
Method A (p=0.5),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
Method A (p=0.7),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
Method A (p=0.9),0,0.20192307692307693,0.20120481927710843,0.9940476190476191,0.3346693386773547,0.0,0.0,12,0.01
Method A (At least one bus),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.05
Method A (All buses),-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
Method A (p=0.1),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.05
Method A (p=0.2),0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.05
