Bus,k,alpha,h,Confusion Matrix,Accuracy,Precision,Recall,F1 Score
115,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
116,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
117,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
118,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
119,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
121,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
135,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
139,10,0.01,10,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
115,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
116,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
117,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
118,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
119,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
121,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
135,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
139,10,0.01,20,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
115,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
116,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
117,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
118,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
119,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
121,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
135,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
139,10,0.01,30,"[[685   0]
 [168   0]]",0.8030480656506448,0.0,0.0,0.0
115,10,0.05,10,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
116,10,0.05,10,"[[684   1]
 [165   3]]",0.8053927315357562,0.75,0.017857142857142856,0.03488372093023256
117,10,0.05,10,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
118,10,0.05,10,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
119,10,0.05,10,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
121,10,0.05,10,"[[682   3]
 [167   1]]",0.8007033997655334,0.25,0.005952380952380952,0.011627906976744186
135,10,0.05,10,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
139,10,0.05,10,"[[684   1]
 [165   3]]",0.8053927315357562,0.75,0.017857142857142856,0.03488372093023256
115,10,0.05,20,"[[684   1]
 [167   1]]",0.8030480656506448,0.5,0.005952380952380952,0.011764705882352941
116,10,0.05,20,"[[684   1]
 [167   1]]",0.8030480656506448,0.5,0.005952380952380952,0.011764705882352941
117,10,0.05,20,"[[684   1]
 [167   1]]",0.8030480656506448,0.5,0.005952380952380952,0.011764705882352941
118,10,0.05,20,"[[684   1]
 [167   1]]",0.8030480656506448,0.5,0.005952380952380952,0.011764705882352941
119,10,0.05,20,"[[684   1]
 [167   1]]",0.8030480656506448,0.5,0.005952380952380952,0.011764705882352941
121,10,0.05,20,"[[683   2]
 [168   0]]",0.8007033997655334,0.0,0.0,0.0
135,10,0.05,20,"[[684   1]
 [167   1]]",0.8030480656506448,0.5,0.005952380952380952,0.011764705882352941
139,10,0.05,20,"[[684   1]
 [167   1]]",0.8030480656506448,0.5,0.005952380952380952,0.011764705882352941
115,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
116,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
117,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
118,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
119,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
121,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
135,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
139,10,0.05,30,"[[685   0]
 [167   1]]",0.8042203985932005,1.0,0.005952380952380952,0.011834319526627219
115,10,0.1,10,"[[682   3]
 [163   5]]",0.8053927315357562,0.625,0.02976190476190476,0.056818181818181816
116,10,0.1,10,"[[682   3]
 [163   5]]",0.8053927315357562,0.625,0.02976190476190476,0.056818181818181816
117,10,0.1,10,"[[682   3]
 [163   5]]",0.8053927315357562,0.625,0.02976190476190476,0.056818181818181816
118,10,0.1,10,"[[682   3]
 [163   5]]",0.8053927315357562,0.625,0.02976190476190476,0.056818181818181816
119,10,0.1,10,"[[682   3]
 [163   5]]",0.8053927315357562,0.625,0.02976190476190476,0.056818181818181816
121,10,0.1,10,"[[679   6]
 [166   2]]",0.798358733880422,0.25,0.011904761904761904,0.022727272727272728
135,10,0.1,10,"[[679   6]
 [166   2]]",0.798358733880422,0.25,0.011904761904761904,0.022727272727272728
139,10,0.1,10,"[[682   3]
 [163   5]]",0.8053927315357562,0.625,0.02976190476190476,0.056818181818181816
115,10,0.1,20,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
116,10,0.1,20,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
117,10,0.1,20,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
118,10,0.1,20,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
119,10,0.1,20,"[[683   2]
 [166   2]]",0.8030480656506448,0.5,0.011904761904761904,0.023255813953488372
121,10,0.1,20,"[[682   3]
 [167   1]]",0.8007033997655334,0.25,0.005952380952380952,0.011627906976744186
135,10,0.1,20,"[[682   3]
 [167   1]]",0.8007033997655334,0.25,0.005952380952380952,0.011627906976744186
